CBM3_raw_column_name,RRDB_column_name
RunID,
c1,
c2,
c3,
c4,
c5,
c6,
c7,
c8,
c9,
c10,
,FluxIndicatorID
TimeStep,TimeStep
DistTypeID,DistTypeID
SPUID,SPUID
,UserDefdClassSetID
CO2Production,CO2Production
CH4Production,CH4Production
COProduction,COProduction
BioCO2Emission,BioCO2Emission
BioCH4Emission,BioCH4Emission
BioCOEmission,BioCOEmission
DOMCO2Emission,DOMCO2Emission
DOMCH4Emission,DOMCH4Emssion
DOMCOEmission,DOMCOEmission
SoftProduction,SoftProduction
HardProduction,HardProduction
DOMProduction,DOMProduction
DeltaBiomass_AG,DeltaBiomass_AG
DeltaBiomass_BG,DeltaBiomass_BG
DeltaDOM,DeltaDOM
BiomassToSoil,BiomassToSoil
LitterFlux_MERCHANTABLE,MerchLitterInput
LitterFlux_FOLIAGE,FolLitterInput
LitterFlux_OTHER,OthLitterInput
LitterFlux_SUBMERCHANTABLE,SubMerchLitterInput
LitterFlux_COARSEROOT,CoarseLitterInput
LitterFlux_FINEROOT,FineLitterInput
SoilToAir_VERYFASTAG,VFastAGToAir
SoilToAir_VERYFASTBG,VFastBGToAir
SoilToAir_FASTAG,FastAGToAir
SoilToAir_FASTBG,FastBGToAir
SoilToAir_MEDIUM,MediumToAir
SoilToAir_SLOWAG,SlowAGToAir
SoilToAir_SLOWBG,SlowBGToAir
UNFCCC_ForestType,SWStemSnagToAir
KP33_34,SWBranchSnagToAir
UNFCCC_Year,HWStemSnagToAir
KF33_Year,HWBranchSnagToAir
KFProjectType,BlackCarbonToAir
KFProjectID,PeatToAir
SoilToAir_SSTEMSNAG,LandClassID
SoilToAir_SBRANCHSNAG,kf2
SoilToAir_HSTEMSNAG,kf3
SoilToAir_HBRANCHSNAG,kf4
SoilToAir_BLACKCARBON,kf5
SoilToAir_PEAT,kf6
BioToAir_MERCHANTABLE,MerchToAir
BioToAir_FOLIAGE,FolToAir
BioToAir_OTHER,OthToAir
BioToAir_SUBMERCHANTABLE,SubMerchToAir
BioToAir_COARSEROOT,CoarseToAir
BioToAir_FINEROOT,FineToAir
,GrossGrowth_AG
,GrossGrowth_BG
